timestamp,equity,price
2006-04-11,99906.5,67.99
2006-04-12,99906,66.71
2006-04-13,99906,66.469
2006-04-17,99906,64.811
2006-04-18,99906,66.22
2006-04-19,99905.5,65.65
2006-04-20,99905.5,67.63
2006-04-21,99905.5,67.04
2006-04-24,99905.5,65.75
2006-04-25,99905.5,66.17
2006-04-26,99905.5,68.15
2006-04-27,99905.5,69.36
2006-04-28,99905.5,70.39
2006-05-01,99905.5,69.6
2006-05-02,99905.5,71.62
2006-05-03,99905.5,71.14
2006-05-04,99905.5,71.13
2006-05-05,99905.5,71.89
2006-05-08,99905.5,71.89
2006-05-09,99905.5,71.03
2006-05-10,99905.5,70.6
2006-05-11,99905.5,68.15
2006-05-12,99905.5,67.7
2006-05-15,99905.5,67.79
2006-05-16,99905.5,64.98
2006-05-17,99905,65.26
2006-05-18,99905,63.18
2006-05-19,99905,64.51
2006-05-22,99905,63.38
2006-05-23,99905,63.15
2006-05-24,99905,63.34
2006-05-25,99904.5,64.33
2006-05-26,99904.5,63.549
2006-05-30,99904.5,61.22
2006-05-31,99904.5,59.77
2006-06-01,99904.5,62.17
2006-06-02,99904.5,61.66
2006-06-05,99904.5,60
2006-06-06,99904.5,59.723
2006-06-07,99904.5,58.565
2006-06-08,99904.5,60.76
2006-06-09,99904,59.52
2006-06-12,99904,57
2006-06-13,99904,58.33
2006-06-14,99903.5,57.61
2006-06-15,99903.5,59.38
2006-06-16,99903.5,57.56
2006-06-19,99903.5,57.2
2006-06-20,99903,57.47
2006-06-21,99903,57.86
2006-06-22,99903,59.58
2006-06-23,99902.5,58.83
2006-06-26,99902.5,58.99
2006-06-27,99902.5,57.43
2006-06-28,99902,56.02
2006-06-29,99902,58.97
2006-06-30,99902,57.27
2006-07-03,99901.5,57.95
2006-07-05,99901.5,57.0015
2006-07-06,99901.5,55.77
2006-07-07,99901.5,55.4
2006-07-10,99901,55
2006-07-11,99901,55.65
2006-07-12,99901,52.96
2006-07-13,99901,52.25
2006-07-14,99901,50.67
2006-07-17,99901,52.37
2006-07-18,99901,52.9
2006-07-19,99900.5,54.1
2006-07-20,99900.5,60.5
2006-07-21,99900.5,60.72
2006-07-24,99900.5,61.42
2006-07-25,99900,61.928
2006-07-26,99900,63.87
2006-07-27,99900,63.4
2006-07-28,99900,65.59
2006-07-31,99900,67.96
2006-08-01,99900,67.18
2006-08-02,99900,68.16
2006-08-03,99900,69.59
2006-08-04,99900,68.3
2006-08-07,99900,67.21
2006-08-08,99900,64.78
2006-08-09,99900,63.59
2006-08-10,99900,64.07
2006-08-11,99900,63.65
2006-08-14,99900,63.94
2006-08-15,99900,66.45
2006-08-16,99900,67.98
2006-08-17,99900,67.59
2006-08-18,99900,67.91
2006-08-21,99900,66.56
2006-08-22,99900,67.62
2006-08-23,99900,67.31
2006-08-24,99899.5,67.81
2006-08-25,99899.5,68.75
2006-08-28,99899.5,66.98
2006-08-29,99899,66.48
2006-08-30,99899,66.96
2006-08-31,99899,67.85
2006-09-01,99898.5,68.38
2006-09-05,99898.5,71.48
2006-09-06,99898.5,70.03
2006-09-07,99898.5,72.8
2006-09-08,99898.5,72.52
2006-09-11,99898,72.5
2006-09-12,99898,72.63
2006-09-13,99898,74.2
2006-09-14,99898,74.17
2006-09-15,99897.5,74.1
2006-09-18,99897.5,73.89
2006-09-19,99897.5,73.77
2006-09-20,99897.5,75.26
2006-09-21,99897.5,74.65
2006-09-22,99897.5,73
2006-09-25,99897.5,75.75
2006-09-26,99897.5,77.61
2006-09-27,99897.5,76.41
2006-09-28,99897.5,77.01
2006-09-29,99897.5,76.98
2006-10-02,99897.5,74.86
2006-10-03,99897.5,74.07
2006-10-04,99897.5,75.38
2006-10-05,99897.5,74.83
2006-10-06,99897.5,74.22
2006-10-09,99897.5,74.63
2006-10-10,99897.5,73.81
2006-10-11,99897.5,73.23
2006-10-12,99897,75.26
2006-10-13,99897,75.02
2006-10-16,99897,75.4
2006-10-17,99897,74.29
2006-10-18,99897,74.53
2006-10-19,99897,78.99
2006-10-20,99896.5,79.95
2006-10-23,99896.5,81.46
2006-10-24,99896.5,81.05
2006-10-25,99896,81.68
2006-10-26,99896,82.19
2006-10-27,99896,80.41
2006-10-30,99895.5,80.42
2006-10-31,99895.5,81.08
2006-11-01,99895.5,79.16
2006-11-02,99895.5,78.98
2006-11-03,99895.5,78.29
2006-11-06,99895.5,79.71
2006-11-07,99895.5,80.51
2006-11-08,99895.5,82.45
2006-11-09,99895,83.34
2006-11-10,99895,83.12
2006-11-13,99895,84.35
2006-11-14,99895,85
2006-11-15,99895,84.05
2006-11-16,99895,85.61
2006-11-17,99895,85.85
2006-11-20,99894.5,86.47
2006-11-21,99894.5,88.6
2006-11-22,99894.5,90.31
2006-11-24,99894.5,91.63
2006-11-27,99894.5,89.54
2006-11-28,99894.5,91.81
2006-11-29,99894.5,91.8
